Hour,Diesel,Sim_Load
0,,2156.8672555705184
1,,2154.94410066712
2,,2111.41205044054
3,,2036.769915466365
4,,1998.6459571155608
5,,1992.7696538559326
6,,2008.1043832503121
7,,2028.4691694999012
8,,2043.43586096756
9,,2042.5454722562272
10,,2067.098488636297
11,,2170.9204011641723
12,,2223.015569692501
13,,2213.60888449436
14,,2271.925784799559
15,,2416.918630535292
16,,2505.4151066776467
17,,2527.3612557029433
18,,2475.1987453733987
19,,2417.123584830951
20,,2370.5258277891226
21,,2299.710476895306
22,,2245.8007425464493
23,,2217.460664267003
24,,2177.7714131381304
25,,2133.6059795827136
26,,2088.414942631778
27,,2031.5573600895398
28,,1990.9586824554867
29,,1992.7865493170639
30,,2014.67093171148
31,,2060.8789976043963
32,,2117.5114266131013
33,,2161.687060294287
34,,2222.9382149648845
35,,2349.6985022053477
36,,2407.9091044410975
37,,2411.9691380695353
38,,2473.0973202972477
39,,2585.0326066668645
40,,2687.843332833584
41,,2712.209182471462
42,,2644.9083742220787
43,,2536.63310497319
44,,2470.051819732411
45,,2410.421206493093
46,,2341.5506919196873
47,,2280.3424963087987
48,,2230.707174272966
49,,2168.700189611268
50,,2112.137931962898
51,,2052.964160058174
52,,2015.0734498269628
53,,2005.951998227193
54,,2032.9024909270584
55,,2079.030210287699
56,,2132.215128131961
57,,2176.697404144695
58,,2252.487011161705
59,,2374.090445029581
60,,2429.691852508341
61,,2407.7607268237866
62,,2476.9372471660527
63,,2595.999683365935
64,,2703.7927761230635
65,,2718.523700927453
66,,2671.7535357453985
67,,2580.2522696615197
68,,2501.788890099451
69,,2422.021833344103
70,,2335.3589584615866
71,,2296.6536441271774
72,,2221.829056112984
73,,2157.4642896537407
74,,2088.1718257997463
75,,2037.5847165100986
76,,2000.8739220576638
77,,2005.5434350827186
78,,2021.473106304499
79,,2063.9843795329075
80,,2107.223185458085
81,,2148.6935522955605
82,,2225.1860375930446
83,,2358.2846007728517
84,,2405.2433715022335
85,,2387.052983429668
86,,2414.177528727892
87,,2539.27815188398
88,,2649.8965665936653
89,,2700.469430675204
90,,2646.0837666202965
91,,2552.906021251069
92,,2499.0255250879677
93,,2458.1523064695825
94,,2389.7664794403654
95,,2310.773748459684
96,,2223.041879571839
97,,2131.506664850365
98,,2071.5330419610727
99,,2022.7818708877605
100,,1982.8986781485805
101,,1989.6686835786982
102,,2006.8724054630609
103,,2066.503707199426
104,,2128.265411659291
105,,2183.0536408129637
106,,2262.3927609062443
107,,2392.8527717081824
108,,2425.7931537594045
109,,2412.298500320071
110,,2432.178375213016
111,,2558.0962697351365
112,,2665.926520408021
113,,2698.8553684341487
114,,2650.723933875979
115,,2564.616091139931
116,,2522.3770794027655
117,,2485.7384359452767
118,,2400.205718084941
119,,2312.4216575917676
120,,2220.8524955081934
121,,2135.718774199365
122,,2069.452875548818
123,,2026.0420334663727
124,,1995.1094967418596
125,,1995.3619402138493
126,,2032.8016624753534
127,,2111.587429586042
128,,2219.1377595974673
129,,2256.052525679382
130,,2337.1489134225594
131,,2502.0779320538
132,,2502.226449705332
133,,2446.0263029705516
134,,2501.9500598402474
135,,2629.1385585180074
136,,2745.1970428885597
137,,2757.4068257116255
138,,2689.9927154992292
139,,2597.6613434626042
140,,2548.370826571725
141,,2484.9013330382622
142,,2406.810806640684
143,,2314.0198411727833
144,,2207.9305285968026
145,,2110.487126361976
146,,2064.9737812232947
147,,2021.0559193640809
148,,1988.0684848952674
149,,2000.7480488149006
150,,2044.1074777200627
151,,2136.532230616752
152,,2283.0165271755163
153,,2368.061133378176
154,,2458.7538031123636
155,,2617.3495690304726
156,,2612.6507497361567
157,,2537.421182796972
158,,2575.9742782026897
159,,2689.4258289986387
160,,2808.367453997444
161,,2835.9840045029964
162,,2777.493161101257
163,,2651.2824758112865
164,,2589.4946257357237
165,,2530.8658357172576
166,,2460.8001743898817
167,,2322.0447249486333
168,,2202.2794326898425
169,,2114.35504705952
170,,2062.118845450128
171,,2017.7576022288915
172,,1983.0860818080487
173,,1999.9204590441286
174,,2050.452248640052
175,,2155.2146031234697
176,,2310.5375231865914
177,,2373.0335011219245
178,,2457.357233685364
179,,2624.4750887598766
180,,2594.6624216421624
181,,2517.938180011901
182,,2560.32805779424
183,,2676.500363569828
184,,2786.4409036327256
185,,2811.0810221251454
186,,2776.722908778652
187,,2642.247138089691
188,,2580.93185439022
189,,2530.960824634828
190,,2449.537776379914
191,,2325.117972918406
192,,2206.2414128020805
193,,2115.4539228298727
194,,2053.5279832875517
195,,2016.5641805211167
196,,1989.8191047570203
197,,2012.6310109534766
198,,2061.3157480405953
199,,2169.7343530584208
200,,2323.376675958653
201,,2410.7205765130084
202,,2478.035186784541
203,,2652.792441176476
204,,2636.464244660611
205,,2555.7647001771325
206,,2584.579538166389
207,,2699.6899961003455
208,,2820.85993838144
209,,2843.6741275351505
210,,2785.7838172506335
211,,2668.410830094439
212,,2595.30652358652
213,,2519.7374772716726
214,,2438.1242011692643
